Experiment,Run,Shots,Timing,Backend,Results 1,Results 0,Graph file
EXP1SUPPOS,0,8192,42.4435076713562,ibmq_armonk,4012,4180,EXP1SUPPOS_RUN0_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,1,8192,42.37513446807861,ibmq_armonk,4043,4149,EXP1SUPPOS_RUN1_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,2,8192,42.30780291557312,ibmq_armonk,4013,4179,EXP1SUPPOS_RUN2_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,3,8192,42.23116135597229,ibmq_armonk,4087,4105,EXP1SUPPOS_RUN3_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,4,8192,42.172444343566895,ibmq_armonk,4092,4100,EXP1SUPPOS_RUN4_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,5,8192,42.310184717178345,ibmq_armonk,4018,4174,EXP1SUPPOS_RUN5_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,6,8192,42.127140045166016,ibmq_armonk,4021,4171,EXP1SUPPOS_RUN6_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,7,8192,42.165979623794556,ibmq_armonk,3998,4194,EXP1SUPPOS_RUN7_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,8,8192,42.46855711936951,ibmq_armonk,4008,4184,EXP1SUPPOS_RUN8_SHOTS8192_ibmq_armonk.png
EXP1SUPPOS,9,8192,42.1775438785553,ibmq_armonk,4031,4161,EXP1SUPPOS_RUN9_SHOTS8192_ibmq_armonk.png
