Experiment,Run,Shots,Timing,Backend,Results 1,Results 0,Graph file
EXP1SUPPOS,0,8192,4.645175218582153,ibmq_lima,3842,4350,EXP1SUPPOS_RUN0_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,1,8192,4.710410118103027,ibmq_lima,3788,4404,EXP1SUPPOS_RUN1_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,2,8192,4.640194892883301,ibmq_lima,3825,4367,EXP1SUPPOS_RUN2_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,3,8192,4.568491697311401,ibmq_lima,3868,4324,EXP1SUPPOS_RUN3_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,4,8192,4.5905067920684814,ibmq_lima,3873,4319,EXP1SUPPOS_RUN4_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,5,8192,4.910799026489258,ibmq_lima,3934,4258,EXP1SUPPOS_RUN5_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,6,8192,4.651229381561279,ibmq_lima,3897,4295,EXP1SUPPOS_RUN6_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,7,8192,4.681816339492798,ibmq_lima,3771,4421,EXP1SUPPOS_RUN7_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,8,8192,4.678462505340576,ibmq_lima,3851,4341,EXP1SUPPOS_RUN8_SHOTS8192_ibmq_lima.png
EXP1SUPPOS,9,8192,5.22480583190918,ibmq_lima,3816,4376,EXP1SUPPOS_RUN9_SHOTS8192_ibmq_lima.png
